id_pair,start_id,stop_id,start_smiles,stop_smiles
26,CHEMBL1834893,CHEMBL466792,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,C[C@@H](\C=C\C[C@@H](O)C12CC3CC(CC(C3)C1)C2)[C@H]4CC[C@H]5\C(=C\C=C6C[C@@H](O)C(=C)[C@H](O)C6)\CCC[C@]45C
27,CHEMBL1834893,CHEMBL467212,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,C[C@H](\C=C\[C@@H](O)C12CC3CC(CC(C3)C1)C2)[C@H]4CC[C@H]5\C(=C\C=C6C[C@@H](O)C(=C)[C@H](O)C6)\CCC[C@]45C
28,CHEMBL1834893,CHEMBL494338,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,CC(C)(O)CCCC1(CC1)C2=CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C
29,CHEMBL1834893,CHEMBL1356393,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,COC1=C(OC)C(=O)C(=CC1=O)C(C=C)c2ccccc2
30,CHEMBL1834893,CHEMBL1377737,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,COc1ccc(C[S+]([O-])\C(=C(\Cl)/C(=O)Nc2ccc(OC)nc2)\Cl)cc1
31,CHEMBL1834893,CHEMBL1389315,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,O=S(=O)(Nc1c(c2nc3ccccc3nc2n1C4CCCCC4)S(=O)(=O)c5ccccc5)c6ccccc6
32,CHEMBL1834893,CHEMBL1409883,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,CCCNC(=O)c1nnsc1[S+]([O-])c2ccc(Cl)cc2
33,CHEMBL1834893,CHEMBL1484163,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,CCOC(=O)C1=C(Cc2ccc(OC)cc2)C(=O)c3ccccc3C1=O
34,CHEMBL1834893,CHEMBL1498509,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,O=C1C(=O)c2ccc(cc2c3ccccc13)c4ccccc4
35,CHEMBL1834893,CHEMBL1498652,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,OC1=C(C(=O)c2ccccc12)C3=Nc4ccccc4C3=O
36,CHEMBL1834893,CHEMBL1501990,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,OC1(NC(=O)c2ccccc2)C(=O)c3ccccc3C1=O
37,CHEMBL1834893,CHEMBL1504661,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,NC(=O)c1ccc(cc1)N=C2C(=O)Nc3ccc(cc23)[N+](=O)[O-]
38,CHEMBL1834893,CHEMBL1514238,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,[O-][N+](=O)c1oc(cc1)C(=O)\C=C\c2ccc(Cl)cc2
39,CHEMBL1834893,CHEMBL192627,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl
40,CHEMBL1834893,CHEMBL1978564,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,CN(C)c1ccc(cc1)\N=C\c2oc(C)cc2
41,CHEMBL1834893,CHEMBL295316,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,CC1=CC(=O)c2c(O)cccc2C1=O
42,CHEMBL1834893,CHEMBL468167,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,Clc1c(Cl)c(C#N)c(Cl)c(C#N)c1Cl
43,CHEMBL1834893,CHEMBL51314,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,CC(C)(C)C(=O)Nc1ccc2c(c1)C(=O)C(=O)c3ccccc23
44,CHEMBL1834893,CHEMBL4159525,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,C=C1/C(=CC=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CC#C[C@@H](O)C23CC4CC(CC(C4)C2)C3)C[C@@H](O)C[C@@H]1O
45,CHEMBL1834893,CHEMBL4202828,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2,C=C1/C(=CC=C(/CC)c2cccc(CCCCCC(C)(C)O)c2)C[C@@H](O)C[C@@H]1O
46,CHEMBL2112315,CHEMBL1834893,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CCC(CC)(c1ccc(OC[C@H](O)C(C)(C)C)c(C)c1)c2ccc(O[C@@H](CO)CCO)c(C)c2
47,CHEMBL2112315,CHEMBL2171447,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CC\C(=C/C=C/C(O)(C(F)(F)F)C(F)(F)F)\c1cccc(CCc2ccc(CO)c(CO)c2)c1
48,CHEMBL2112315,CHEMBL2171448,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CC\C(=C/C=C/C(O)(C(F)(F)F)C(F)(F)F)\c1cccc(OCc2ccc(CO)c(CO)c2)c1
49,CHEMBL2112315,CHEMBL2171449,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CCCc1cc(ccc1c2cc(OCc3ccc(CO)c(CO)c3)ccc2CC)C(O)(CC)CC
50,CHEMBL2112315,CHEMBL2171450,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CCCc1cc(ccc1c2cc(CCc3ccc(CO)c(CO)c3)ccc2C)C(O)(CC)CC
51,CHEMBL2112315,CHEMBL222195,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CC[C@H](CCC(C)(C)O)[C@H](C)[C@H]1CCC2\C(=C\C=C/3\C[C@@H](O)C[C@H](O)C3=C)\CCC[C@]12C
52,CHEMBL2112315,CHEMBL226380,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@@H](CCCC(C)(C)O)C1CCC2\C(=C\C=C3C[C@@H](O)C(=CCF)[C@H](O)C3)\CCCC12C
53,CHEMBL2112315,CHEMBL2334341,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CC[Si](CC)(c1ccc(OCC2CO2)c(C)c1)c3ccc(OCC(=O)C(C)(C)C)c(C)c3
54,CHEMBL2112315,CHEMBL2407821,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)[C@H](CCn4ncnn4)[C@H](O)C3=C)\CCC[C@]12C
55,CHEMBL2112315,CHEMBL2407822,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)[C@H](CCn4cnnn4)[C@H](O)C3=C)\CCC[C@]12C
56,CHEMBL2112315,CHEMBL2407823,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)[C@H](CCn4cncn4)[C@H](O)C3=C)\CCC[C@]12C
57,CHEMBL2112315,CHEMBL2407824,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)[C@H](CCn4nccn4)[C@H](O)C3=C)\CCC[C@]12C
58,CHEMBL2112315,CHEMBL2407825,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)[C@H](CCn4ccnn4)[C@H](O)C3=C)\CCC[C@]12C
59,CHEMBL2112315,CHEMBL2407826,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(=C\C=C/3\C[C@@H](O)[C@H](CCn4ccnc4)[C@H](O)C3=C)\CCC[C@]12C
60,CHEMBL2112315,CHEMBL3263871,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@H](CC#C[C@@H](O)C12CC3CC(CC(C3)C1)C2)[C@H]4CC[C@H]5\C(=C\C=C6C[C@@H](O)C(=C)[C@H](O)C6)\CCC[C@]45C
61,CHEMBL2112315,CHEMBL3263872,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@H](CC#C[C@H](O)CC12CC3CC(CC(C3)C1)C2)[C@H]4CC[C@H]5\C(=C\C=C6C[C@@H](O)C(=C)[C@H](O)C6)\CCC[C@]45C
62,CHEMBL2112315,CHEMBL3745849,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@]12CCC\C(=C/C=C3C[C@@H](O)C(=C)[C@H](O)C3)\[C@@H]1CC[C@@H]2C#CC#C[C@@H](O)C45CC6CC(CC(C6)C4)C5
63,CHEMBL2112315,CHEMBL3746013,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CCn1c(ccc1C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)C(=O)NCCCN3CCOCC3
64,CHEMBL2112315,CHEMBL3747395,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CCOc1ccc(NC(=O)c2ccc(n2CC)C(CC)(CC)c3ccc(OCC(O)C(C)(C)C)c(C)c3)cc1
65,CHEMBL2112315,CHEMBL3747703,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,CC[C@@H](C)[C@H](NC(=O)c1ccc(n1CC)C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)C(=O)O
66,CHEMBL2112315,CHEMBL3747761,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,C[C@]12CCC\C(=C/C=C3C[C@@H](O)C(=C)[C@H](O)C3)\[C@@H]1CC[C@@H]2C#CC#C[C@@H](O)CC45CC6CC(CC(C6)C4)C5
67,CHEMBL2112315,CHEMBL3823873,CCOC(=O)\C=C\C1(CC1)[C@H](O)\C=C\[C@@H](C)[C@H]2CC[C@H]3\C(=C\C=C/4\C[C@@H](O)C[C@H](O)C4=C)\CCC[C@]23C,COc1cccc(c1)C2=Nc3ccccc3C(=S)N2
